MatrixSize,PartitionRow,MinTime,MaxTime,AvgTime,AvgBcastTime,AvgMatmulTime,AvgReduceTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,Nodes,ProcessPerNode
1600000,100000,     9.021,    13.912,    11.763,     2.043,     7.193,     4.673,30,16,     1.000,100000,8,2
8000000,500000,    84.756,   146.016,   107.399,     9.822,    98.920,    37.267,30,16,     1.000,500000,8,2
1600000,100000,    23.739,    36.501,    28.358,     2.388,    27.075,     7.034,30,16,     4.000,400000,8,2
3200000,200000,    77.985,   109.592,    88.605,     4.893,    91.399,    13.294,30,16,     4.000,800000,8,2
4800000,300000,   131.917,   186.649,   152.125,     6.132,   156.880,    23.629,30,16,     4.000,1200000,8,2
6400000,400000,   184.421,   282.660,   223.085,     8.171,   249.239,    25.242,30,16,     4.000,1600000,8,2
8000000,500000,   226.409,   322.499,   254.846,    10.050,   278.169,    34.272,30,16,     4.000,2000000,8,2
16000000,1000000,   251.866,   370.881,   300.542,    20.229,   266.440,    84.203,30,16,     1.000,1000000,8,2
9600000,600000,   319.714,   478.227,   370.164,    12.140,   409.646,    56.429,30,16,     4.000,2400000,8,2
11200000,700000,   389.718,   574.766,   450.890,    14.195,   507.769,    52.792,30,16,     4.000,2800000,8,2
12800000,800000,   461.598,   708.910,   540.038,    16.382,   647.501,    45.016,30,16,     4.000,3200000,8,2
14400000,900000,   551.125,   828.466,   660.988,    21.065,   744.476,    62.915,30,16,     4.000,3600000,8,2
16000000,1000000,   652.334,   961.115,   748.381,    20.353,   874.410,    66.340,30,16,     4.000,4000000,8,2
17600000,1100000,   752.740,  1124.820,   862.875,    22.398,   993.762,   108.649,30,16,     4.000,4400000,8,2
19200000,1200000,   858.520,  1275.535,   984.382,    24.341,  1169.409,    81.773,30,16,     4.000,4800000,8,2
20800000,1300000,   963.198,  1394.830,  1083.111,    26.243,  1256.227,   112.349,30,16,     4.000,5200000,8,2
22400000,1400000,  1209.557,  1578.735,  1331.235,    29.974,  1463.061,    85.689,30,16,     4.000,5600000,8,2
24000000,1500000,  1332.010,  1698.060,  1439.223,    32.041,  1585.472,    80.535,30,16,     4.000,6000000,8,2
25600000,1600000,  1420.024,  1841.323,  1570.139,    34.163,  1681.215,   125.931,30,16,     4.000,6400000,8,2
27200000,1700000,  1581.369,  1981.812,  1701.788,    36.407,  1854.455,    90.940,30,16,     4.000,6800000,8,2
28800000,1800000,  1699.388,  2133.562,  1829.767,    38.633,  2007.526,    87.391,30,16,     4.000,7200000,8,2
30400000,1900000,  1847.265,  2278.279,  1975.451,    40.787,  2142.621,    94.860,30,16,     4.000,7600000,8,2
32000000,2000000,  1971.163,  2471.261,  2120.754,    42.302,  2304.487,   124.459,30,16,     4.000,8000000,8,2
40000000,2500000,  2374.226,  3247.822,  2644.530,    58.536,  3017.092,   172.182,30,16,     4.000,10000000,8,2
80000000,5000000,  2048.258,  2456.262,  2245.526,   116.588,  2068.820,   270.840,30,16,     1.000,5000000,8,2
48000000,3000000,  3141.694,  3998.429,  3422.597,    72.692,  3706.205,   219.519,30,16,     4.000,12000000,8,2
